Title,director,mpa_rating,length,genre,release_date,imdb_rating,vote_count,synopsis
My Neighbor Totoro,Hayao Miyazaki,G,1h 26min,Animation,13 July 1990 (USA),8.2,"262,143","When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."
The Secret in Their Eyes,Juan José Campanella,R,2h 9min,Drama,21 May 2010 (USA),8.2,"181,541",A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.
Casino,Martin Scorsese,R,2h 58min,Crime,22 November 1995 (USA),8.2,"438,185","A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive, compete against each other over a gambling empire, and over a fast living and fast loving socialite."
Ran,Akira Kurosawa,R,2h 42min,Action,1 June 1985 (Japan),8.2,"104,667","In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him."
Some Like It Hot,Billy Wilder,Not Rated,2h 1min,Comedy,19 March 1959 (USA),8.2,"231,595","When two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
The Great Escape,John Sturges,Not Rated,2h 52min,Adventure,4 July 1963 (USA),8.2,"213,865",Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.
Howl's Moving Castle,Hayao Miyazaki,PG,1h 59min,Animation,17 June 2005 (USA),8.2,"300,050","When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
Pan's Labyrinth,Guillermo del Toro,R,1h 58min,Drama,19 January 2007 (USA),8.2,"594,036","In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
All About Eve,Joseph L. Mankiewicz,Passed,2h 18min,Drama,27 October 1950 (USA),8.2,"114,429",An ingénue insinuates herself into the lives of an established but aging stage actress and her circle of theater friends.
A Beautiful Mind,Ron Howard,PG-13,2h 15min,Biography,4 January 2002 (USA),8.2,"807,156",After
Children of Heaven,Majid Majidi,PG,1h 29min,Drama,22 January 1999 (USA),8.3,"58,855","After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
Green Book,Peter Farrelly,PG-13,2h 10min,Biography,16 November 2018 (USA),8.2,"304,271",A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.
Unforgiven,Clint Eastwood,R,2h 10min,Drama,7 August 1992 (USA),8.2,"357,196","Retired Old West gunslinger William Munny (Clint Eastwood) reluctantly takes on one last job, with the help of his old partner Ned Logan (Morgan Freeman) and a young man, The ""Schofield Kid"" (Jaimz Woolvett)."
Downfall,Oliver Hirschbiegel,R,2h 36min,Biography,8 April 2005 (USA),8.2,"317,459",
Come and See,Elem Klimov,Not Rated,2h 22min,Drama,17 October 1985 (Hungary),8.3,"48,892","After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
Die Hard,John McTiernan,R,2h 12min,Action,20 July 1988 (USA),8.2,"752,728",An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.
Batman Begins,Christopher Nolan,PG-13,2h 20min,Action,15 June 2005 (USA),8.2,"1,249,178","After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption."
Yojimbo,Akira Kurosawa,Not Rated,1h 50min,Action,13 September 1961 (USA),8.2,"103,597",A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.
